ID,Name,Link,City,Street,Opening,Postcode,Url Location,Wifi,Laptop Friendly,Pet Friendly,Latitude,Longitude
11,Output Espresso,https://europeancoffeetrip.com/cafe/outputespresso-belfast/,Belfast,479 Lisburn Road,Monday - Friday: 08:00-16:00|Saturday: 08:00-16:00|Sunday: 09:00-16:00,BT7 1NH,,,,,54.588257815241505,-5.935499332668889
12,Allpress Espresso Bar,https://europeancoffeetrip.com/cafe/Allpressespressobar-London/,London,58 Redchurch St Shoreditch ,Monday - Friday: 08:00-16:00|Saturday - Sunday: 09:00-16:00,E2 7DP,,,,,51.5243479,-0.07472087777777778
13,Artisan Stamford Brook,https://europeancoffeetrip.com/cafe/ArtisanStamfordBrook-london/,London,372 King Street Stamford Brook  ,Monday - Friday: 07:30-16:00|Saturday: 08:00-16:00|Sunday: 08:30-16:00,W6 0RX,,,,,51.4935209,-0.2447638
14,North Star Coffee Kiosk,https://europeancoffeetrip.com/cafe/northstarcoffeekiosk-leeds/,Leeds,Sovereign St,Monday - Friday: 07:30-15:00|Saturday - Sunday: Closed,LS1 4BJ,,,,,53.793225936636425,-1.5449111370418522
15,Factory Coffee Mcr,https://europeancoffeetrip.com/cafe/factorycoffeemcr-manchester/,Manchester,38 King Street West,Monday - Friday: 06:30-18:30|Saturday - Sunday: 08:00-17:00,M3 2WZ,,,,,53.4814276,-2.2496991
16,200 Degrees,https://europeancoffeetrip.com/cafe/200degrees-leeds/,Leeds,31 Bond Street,Monday - Friday: 07:00-20:30|Saturday: 08:00-20:00|Sunday: 08:00-19:00,LS1 5BQ,,,,,53.7976354,-1.5460923
17,Ark Music And Coffee,https://europeancoffeetrip.com/cafe/arkmusicandcoffee-whitstable/,Whitstable,6 Tower Parade ,Monday: 08:00-15:00|Tuesday: Closed|Wednesday: Closed|Thursday: 08:00-15:00|Friday: 08:00-15:00|Saturday: 08:00-15:00|Sunday: 09:00-15:00,CT5 2BJ,,Free Wi-Fi,Laptop Friendly,Pet Friendly,51.3634588,1.031817
18,Dark Arts Coffee,https://europeancoffeetrip.com/cafe/DarkArtsCoffee-London/,London,1 - 5 Rosina St,Monday - Friday: 08:00-15:30|Saturday: 09:00-14:30|Sunday: Closed,E9 6JH,,,,,51.54731685,-0.04581167277046784
19,Rosslyn Coffee Leadenhall Market,https://europeancoffeetrip.com/cafe/rosslyncoffee-leadenhallmarket-london/,London,15-18 Lime St,Monday - Friday: 06:30-17:00|Saturday - Sunday: Closed,EC3M 7AN,,,,Pet Friendly,51.51227475410652,-0.08260237130390957
20,Catalyst,https://europeancoffeetrip.com/cafe/catalyst-london/,London,48 Grays Inn Road Chancery Lane,Monday - Friday: 08:00-17:00|Saturday - Sunday: Closed,WC1X 8LT,,,,,51.5197894,-0.1119972
21,Modern Standard Coffee,https://europeancoffeetrip.com/cafe/modernstandard-edinburgh/,Edinburgh,49 Barclay Place,Monday - Friday: 08:00-15:00|Saturday - Sunday: 08:00-16:00,EH10 4HW,,Free Wi-Fi,,Pet Friendly,55.9396549,-3.2043779
22,Wild And Wood,https://europeancoffeetrip.com/cafe/wildandwood-london/,London,47  Wall,Monday: 07:00-17:30|Tuesday: 07:00-17:30|Wednesday: 07:00-17:30|Thursday: 07:00-17:30|Friday: 07:00-16:00|Saturday: Closed|Sunday: Closed,EC2M 5TE,,,,,51.51701978,-0.08808176
23,Elm Cafe And Kombucha,https://europeancoffeetrip.com/cafe/elm-keswick/,Keswick,2 Borrowdale Rd (George Fisher store),Monday: 10:00-16:00|Tuesday: Closed|Wednesday: Closed|Thursday: 10:00-16:00|Friday: 10:00-16:00|Saturday: 10:00-16:00|Sunday: 10:30-15:30,CA12 5DA,,Free Wi-Fi,Laptop Friendly,Pet Friendly,54.5990888,-3.13652715
24,Old Spike,https://europeancoffeetrip.com/cafe/oldspike-london/,London,54 Peckham Rye,Monday - Friday: 07:30-17:00|Saturday - Sunday: 08:30-17:00,SE15 4JR,,,,,51.465329249999996,-0.06674320000000025
25,Beanberry Coffee Company,https://europeancoffeetrip.com/cafe/Beanberrycoffeecompany-london/,London,30B Fife Rd Kingston upon Thames,Monday - Friday: 07:30-17:00|Saturday - Sunday: 08:00-17:00,KT1 1SZ,,,,,51.4115652,-0.3035576
26,Ancoats Coffee Co.,https://europeancoffeetrip.com/cafe/ancoatscoffeeco-manchester/,Manchester,9 Royal Mill 17 Redhill St Ancoats,Monday - Friday: 08:30-17:00|Saturday: 09:00-17:00|Sunday: 10:00-17:00,M4 5BA,,,,,53.4833582,-2.2277597
27,Origin Coffee Roasters - Scoresby St,https://europeancoffeetrip.com/cafe/origincoffeeroastersscoresbyst-london/,London,84 Scoresby St,Monday - Friday: 08:00-16:30|Saturday: 09:00-17:00|Sunday: 09:00-16:00,SE1 0XN,,,,,51.5042354,-0.1036099
28,Brewster'S Coffee Co,https://europeancoffeetrip.com/cafe/brewsters-lewes/,Lewes,Tollgate Glynde,Monday: Closed|Tuesday: Closed|Wednesday: 08:00-15:00|Thursday: 08:00-15:00|Friday: 08:00-15:00|Saturday: 08:00-15:00|Sunday: 08:00-15:00,BN8 6JZ,,,,Pet Friendly,50.8542193,0.0768874
29,108 Coffee House,https://europeancoffeetrip.com/cafe/108coffeehouse-truro/,Truro,109 Kenwyn Street,Monday - Friday: 08:00-16:00|Saturday: 08:00-16:00|Sunday: Closed,TR1 3DJ,,,,,50.263197649999995,-5.0547429235466
30,Hagen Espresso Bar,https://europeancoffeetrip.com/cafe/hagen-nothinghill-london/,London,63A Ledbury Rd,Monday - Friday: 07:00-18:00|Saturday - Sunday: 08:00-18:00,W11 2AD,,,,,51.5148104,-0.19944797324994068
31,Coaltown Coffee Roasters,https://europeancoffeetrip.com/cafe/coaltowncoffee-ammanford/,Ammanford,Foundry Rd,Monday - Friday: 09:00-16:00|Saturday - Sunday: 09:00-16:00,SA18 2LS,,Free Wi-Fi,Laptop Friendly,Pet Friendly,51.79224390661116,-3.982777301102196
32,Beany Green Little Venice,https://europeancoffeetrip.com/cafe/BeanyGreenLittleVenice-london/,London,6C Sheldon Square,Monday - Friday: 08:00-17:00|Saturday: 08:00-17:00|Sunday: 09:00-17:00,W2 6EZ,,,,,51.5198085,-0.1800994
33,Popup Café,https://europeancoffeetrip.com/cafe/popupcafe-deal/,Deal,16 High St,Monday - Friday: 08:30-15:00|Saturday: 08:30-15:00|Sunday: 09:00-15:00,CT14 7AE,,Free Wi-Fi,Laptop Friendly,,51.2227619,1.4028245
34,The Fields Beneath,https://europeancoffeetrip.com/cafe/thefieldbeneath-london/,London,52a Prince of Wales Road,Monday - Friday: 07:30-16:00|Saturday: 08:00-17:00|Sunday: 08:30-16:00,NW5 3LN,,Free Wi-Fi,,Pet Friendly,51.546568199999996,-0.14668001000703362
35,Velasquez And Van Wezel,https://europeancoffeetrip.com/cafe/VelasquezandVanWezel-london/,London,Park Road 78,Monday - Friday: 07:00-16:00|Saturday - Sunday: 08:00-16:00,N8 8JQ,,,Laptop Friendly,Pet Friendly,51.5818782,-0.1265185
36,Home Coffee & Studio,https://europeancoffeetrip.com/cafe/homecoffee-alsager/,Alsager,16 Lawton Rd,Monday - Friday: 08:30-16:00|Saturday: 08:30-16:00|Sunday: 10:00-15:00,ST7 2AF,,Free Wi-Fi,Laptop Friendly,Pet Friendly,53.09801891058249,-2.29780603465337
37,200 Degrees Coffee Shop,https://europeancoffeetrip.com/cafe/200degreescoffeeshop-cardiff/,Cardiff,115 Queen Street,Monday - Friday: 08:00-18:00|Saturday: 08:00-18:00|Sunday: 09:00-17:00,CF10 2BH,,,,,51.4829097,-3.1730755
38,Artisan Roast,https://europeancoffeetrip.com/cafe/artisanroast-broughton-edinburgh/,Edinburgh,57 Broughton St,Monday - Friday: 07:30-16:00|Saturday - Sunday: 08:30-16:00,EH1 3RJ,,,,,55.9579047,-3.1888679
39,Audacity Coffee,https://europeancoffeetrip.com/cafe/audacitycoffee-belfast/,Belfast,341 Beersbridge Road,Monday: 08:00-16:00|Tuesday: 08:00-15:00|Wednesday: 08:00-15:00|Thursday: 08:00-15:00|Friday: 08:00-16:00|Saturday: 10:00-17:00|Sunday: 10:00-17:00,BT5 5DS,,Free Wi-Fi,Laptop Friendly,Pet Friendly,,
40,Established Coffee,https://europeancoffeetrip.com/cafe/establishedcoffee-belfast/,Belfast,54 Hill Street,Monday - Friday: 07:00-16:30|Saturday - Sunday: 08:00-16:30,BT1 2LD,,,,,54.601935984556306,-5.927045236379562
41,Town Square,https://europeancoffeetrip.com/cafe/townsquare-belfast/,Belfast,45 Botanic Avenue,Monday: 10:30-01:00|Tuesday: 10:30-01:00|Wednesday: 10:30-01:00|Thursday: 10:30-23:00|Friday: 10:30-01:00|Saturday: 10:00-01:00|Sunday: 10:00-01:00,BT7 1HZ,,,,,,
42,Society Café Kingsmead Square,https://europeancoffeetrip.com/cafe/societycafekingsmeadsquare-bath/,Bath,5 Kingsmead Square,Monday - Friday: 07:30-17:30|Saturday: 08:00-18:00|Sunday: 09:00-18:00,BA1 2AB,,,,,51.3810151,-2.3631118731485783
43,Dharma Specialty Coffee,https://europeancoffeetrip.com/cafe/dharmacoffee-brighton/,Brighton,20 Western Road,Monday - Friday: 07:00-17:00|Saturday - Sunday: 08:00-17:00,BN3 1AE,,Free Wi-Fi,Laptop Friendly,Pet Friendly,50.82533205,-0.15722856042907069
44,Kafi Cafe,https://europeancoffeetrip.com/cafe/kaficafe-london/,London,86a-88 Cleveland Street,Monday - Friday: 07:30-16:30|Saturday: 08:30-16:30|Sunday: Closed,W1T 6NJ,,Free Wi-Fi,Laptop Friendly,Pet Friendly,51.52233095,-0.1407855969452152
45,Artisan - East Sheen,https://europeancoffeetrip.com/cafe/Artisaneastsheen-london/,London,139 Sheen Lane,Monday - Friday: 07:30-16:00|Saturday: 08:00-16:00|Sunday: 08:30-16:00,SW14 8LR,,,,,51.46464655,-0.2662754075892846
46,Brixton Blend,https://europeancoffeetrip.com/cafe/brixtonblend-london/,London,8 Tunstall Rd,Monday - Friday: 07:30-16:00|Saturday: 09:00-16:00|Sunday: 09:30-16:00,SW9 8BN,,,,,51.4627542,-0.1156166
47,Bean & Bud,https://europeancoffeetrip.com/cafe/beanandbud-london/,Harrogate,14 Commercial St HG1 1TY,Monday - Friday: 08:00-16:00|Saturday: 08:00-16:00|Sunday: 09:00-16:00, ,,Free Wi-Fi,Laptop Friendly,Pet Friendly,,
48,Oscar’S Se13,https://europeancoffeetrip.com/cafe/oscarsse13-london/,London,48 Ladywell Rd,Monday - Friday: 07:00-14:00|Saturday - Sunday: 08:00-15:00,SE13 7UZ,,,Laptop Friendly,Pet Friendly,51.4564592,-0.020191094658352993
49,Black Pine Coffee Co.,https://europeancoffeetrip.com/cafe/theblackpinecoffeeco-glasgow/,Glasgow,518 Great Western Road,Monday - Friday: 08:30-17:00|Saturday - Sunday: 09:00-17:00,G12 8EL,,Free Wi-Fi,Laptop Friendly,Pet Friendly,55.8758227,-4.282658
50,Wylie'S Coffee,https://europeancoffeetrip.com/cafe/wyliescoffee-stmargarets-london/,London,8 Crown Rd St Margarets,Monday - Friday: 07:30-16:00|Saturday - Sunday: 08:30-15:00,TW1 3EE,,Free Wi-Fi,Laptop Friendly,Pet Friendly,51.45440692142857,-0.3194490857142857
51,Bold Street Coffee,https://europeancoffeetrip.com/cafe/boldstreetcoffee-manchester/,Manchester,53 Cross Street,Monday - Friday: 08:00-18:00|Saturday: 08:00-18:00|Sunday: 09:00-17:00,M2 4JN,,,,,53.480448,-2.2449214
52,Hackney Coffee Co,https://europeancoffeetrip.com/cafe/hackneycoffeeco-london/,London,503 Hackney Road,Monday: 08:00-16:00|Tuesday: 08:00-16:00|Wednesday: 08:00-17:00|Thursday: 08:00-17:00|Friday: 08:00-17:00|Saturday: 09:00-17:00|Sunday: 09:00-17:00,E2 9ED,,,,,51.53078944883393,-0.07239144535922382
53,Loam Coffee And Store,https://europeancoffeetrip.com/cafe/loam-coffee-and-store-brighton/,Brighton,111 Gloucester Road,Monday - Friday: 08:00-16:30|Saturday: 09:00-17:00|Sunday: 10:00-17:00,BN1 4AF,,,,,50.8268592,-0.1378791
54,Store Street Espresso,https://europeancoffeetrip.com/cafe/storestreetespresso245hammersmith-london/,London,245 Hammersmith Road,Monday: 08:00-16:00|Tuesday: 08:00-16:00|Wednesday: 08:00-16:00|Thursday: 08:00-16:00|Friday: 08:00-14:00|Saturday: Closed|Sunday: Closed, W6,,,,,,
55,Botanica,https://europeancoffeetrip.com/cafe/botanica-cheltenham/,Cheltenham,The Bramery Business Park Alstone Ln,Monday - Friday: 08:00-15:00|Saturday - Sunday: 09:00-15:00,GL51 8HE,,Free Wi-Fi,Laptop Friendly,Pet Friendly,51.9018212,-2.0959169
56,Old Bank Café,https://europeancoffeetrip.com/cafe/oldbankcafe-newbarnet/,New Barnet,253 East Barnet Road,Monday - Friday: 08:00-16:00|Saturday - Sunday: 09:00-15:00,EN4 8ST,,,,,,
57,Procaffeinated,https://europeancoffeetrip.com/cafe/procaffeinated-manchester/,Manchester,263 Chapel Street,Monday - Friday: 08:00-16:00|Saturday: 09:00-16:00|Sunday: 10:00-16:00,M3 5JY,,Free Wi-Fi,Laptop Friendly,Pet Friendly,53.4831918,-2.259685
58,Kaf,https://europeancoffeetrip.com/cafe/kaf-glasgow/,Glasgow,5 Hyndland Street,Monday: Closed|Tuesday: Closed|Wednesday: Closed|Thursday: 08:30-16:00|Friday: 08:30-16:00|Saturday: 09:00-16:00|Sunday: 10:00-16:00,G11 5QE,,,,,55.8767468,-4.2901528
59,Koda Coffee,https://europeancoffeetrip.com/cafe/kodacoffee-scarborough/,Scarborough,17 Northway,Monday - Friday: 09:00-17:00|Saturday: 09:00-17:00|Sunday: 10:00-14:00,YO11 1JH,,Free Wi-Fi,Laptop Friendly,Pet Friendly,54.2810406,-0.4058622
60,Mec Coffee,https://europeancoffeetrip.com/cafe/mecccoffee-cardiff/,Cardiff,130 Crwys Road,Monday - Friday: 08:00-15:00|Saturday - Sunday: 10:00-16:00,CF24 4NR,,,,,51.4966305,-3.1808759
61,Society Café Oxford,https://europeancoffeetrip.com/cafe/societycafeoxford-oxford/,Oxford,12-16 Saint Michael's Street,Monday - Friday: 07:30-17:30|Saturday - Sunday: 09:00-18:00,OX1 2DU,,,,,51.75234854,-1.25899348
62,Caffeinated,https://europeancoffeetrip.com/cafe/caffeinated-hull/,Hull,F13 Trinity Indoor Market,Monday: Closed|Tuesday: 08:30-15:00|Wednesday: 08:30-15:00|Thursday: 08:30-15:00|Friday: 08:30-15:00|Saturday: 09:30-15:00|Sunday: Closed,HU1 2JH,,Free Wi-Fi,,Pet Friendly,53.74231,-0.33447
63,5A,https://europeancoffeetrip.com/cafe/5a-belfast/,Belfast,5A Lockview Road,Monday - Friday: 08:00-17:00|Saturday: 08:00-17:00|Sunday: 09:00-17:00,BT9 5FH,,Free Wi-Fi,,,,
64,Dareshack,https://europeancoffeetrip.com/cafe/dareshack-winestreet-bristol/,Bristol,Wine Street,Monday - Friday: 07:30-17:30|Saturday - Sunday: 09:00-17:30,BS1 2BD,,,,,51.45537151038748,-2.591690994297053
65,High Grade,https://europeancoffeetrip.com/cafe/highgrade-london/,London,91 Brick Lane,Monday - Friday: 08:00-16:20|Saturday - Sunday: 10:00-16:20,E1 6QL,,,,,51.521267,-0.0719076
66,Mettricks,https://europeancoffeetrip.com/cafe/mettricks-southampon/,Southampton,1 Guildhall Place ,Monday: 09:00-22:00|Tuesday: 09:00-22:00|Wednesday: 09:00-22:00|Thursday: 09:00-23:00|Friday: 09:00-23:00|Saturday: 09:00-23:00|Sunday: 09:00-22:00,SO14 7DU,,Free Wi-Fi,Laptop Friendly,Pet Friendly,50.90786937368421,-1.404179194736842
67,Attendant (Fitzrovia),https://europeancoffeetrip.com/cafe/attendant-fitzrovia-london/,London,27a Foley Street,Monday - Friday: 08:00-17:00|Saturday - Sunday: 09:00-17:00,W1W 6DY,,Free Wi-Fi,,Pet Friendly,51.519217100000006,-0.1406969946653571
68,Beatnik,https://europeancoffeetrip.com/cafe/beatnik-edinburgh/,Edinburgh,2 Brougham Pl ,Monday - Friday: 08:00-16:00|Saturday - Sunday: 09:00-16:00,EH3 9HW,,,,Pet Friendly,55.9427892,-3.2011968
69,Nincomsoup,https://europeancoffeetrip.com/cafe/nincomsoup-hythe/,Hythe,Malthouse Hill,Monday: Closed|Tuesday: Closed|Wednesday: Closed|Thursday: Closed|Friday: 09:30-16:00|Saturday: 09:30-16:00|Sunday: Closed,CT21 5BW,,,Laptop Friendly,Pet Friendly,51.07162460136015,1.0810338142384506
70,Bould Brothers Coffee,https://europeancoffeetrip.com/cafe/bouldbrotherscoffee-cambridge/,Cambridge,16 Round Church Street,Monday - Friday: 08:00-17:00|Saturday: 08:00-17:00|Sunday: 09:00-17:00,CB5 8AD,,,,,52.2086249,0.1186636
71,Secret Garden,https://europeancoffeetrip.com/cafe/secretgarden-cardiff/,Cardiff,North Road,Monday: Closed|Tuesday: 09:00-16:00|Wednesday: 09:00-16:00|Thursday: 09:00-16:00|Friday: 09:00-16:00|Saturday: 09:00-16:30|Sunday: 09:00-16:30,CF10 3ER,,,,,51.48491769399699,-3.1819420908025546
72,Fee & Brown,https://europeancoffeetrip.com/cafe/fee-brown-london/,London,50 High Street Beckenham,Monday - Friday: 07:30-15:30|Saturday - Sunday: 08:00-16:00,BR3 1AY,,,,,51.409523855555555,-0.025336933333333336
73,Origin Coffee,https://europeancoffeetrip.com/cafe/origincoffee-cornwall/,Cornwall,Harbour Head Porthleven,Monday - Friday: 09:00-17:00|Saturday: 09:00-17:00|Sunday: 09:00-16:00,TR13 9JY,,,,,50.08575,-5.31733
74,Spring Espresso,https://europeancoffeetrip.com/cafe/springespresso-york/,York,45 Fossgate,Monday - Friday: 08:00-17:00|Saturday - Sunday: 08:00-17:00,YO1 9TF,,,,,53.9583311,-1.0787706
75,Espressbros Speciality Coffee House,https://europeancoffeetrip.com/cafe/espressbros-ashford/,Ashford,39-41 Bank Street,Monday - Friday: 07:00-14:00|Saturday: 07:00-14:00|Sunday: Closed,TN23 1DQ,,Free Wi-Fi,Laptop Friendly,Pet Friendly,51.147989224022616,0.8706764380972442
76,Cornershop Coffee,https://europeancoffeetrip.com/cafe/cornershop-macclesfield/,Macclesfield,11 Brock Street,Monday: Closed|Tuesday: Closed|Wednesday: 08:00-15:00|Thursday: 08:00-15:00|Friday: 08:00-15:00|Saturday: 09:00-15:00|Sunday: 09:00-15:00,SK10 1DL,,Free Wi-Fi,Laptop Friendly,Pet Friendly,53.26371649334967,-2.1273060577125835
77,Urban Larder,https://europeancoffeetrip.com/cafe/urbanlarder-cambridge/,Cambridge,9 The Broadway,Monday: Closed|Tuesday: 08:00-16:00|Wednesday: 08:00-16:00|Thursday: 08:00-16:00|Friday: 08:00-16:00|Saturday: 08:00-17:00|Sunday: 08:00-17:00,CB1 3AH,,,,,52.19801271923077,0.14369070384615384
78,Sloth Coffee Co,https://europeancoffeetrip.com/cafe/slothcoffee-swansea/,Swansea,102 Glanmor Rd,Monday - Friday: 07:00-14:00|Saturday: 08:00-13:00|Sunday: Closed,SA2 0QB,,Free Wi-Fi,Laptop Friendly,Pet Friendly,51.620290573630555,-3.971048227912953
79,Antipode,https://europeancoffeetrip.com/cafe/Antipode-London/,London,28 Fulham Palace Rd,Monday - Friday: 07:00-23:30|Saturday: 08:00-23:30|Sunday: 08:30-23:30,W6 9PH,,,,,51.491012049999995,-0.22394182788866063
80,Paper Boat Cafe,https://europeancoffeetrip.com/cafe/paperboat-oxford/,Oxford,The Old Toll House Folly Bridge,Monday: Closed|Tuesday: 08:00-16:00|Wednesday: 08:00-16:00|Thursday: 08:00-16:00|Friday: 08:00-17:00|Saturday: 09:00-17:00|Sunday: 09:00-17:00,OX1 4LB,,,,,51.74664405,-1.2564847233922005
81,F. Mondays,https://europeancoffeetrip.com/cafe/f-mondays-london/,London,112A Brixton Hill,Monday - Friday: 08:00-16:00|Saturday - Sunday: 09:00-14:00,SW2 1AH,,,,Pet Friendly,51.4539714,-0.1201643
82,Hand Cafe,https://europeancoffeetrip.com/cafe/handcafe-london/,London,11 Victory Parade,Monday - Friday: 08:00-15:30|Saturday - Sunday: Closed,E20 1FS,,,,,51.54713115,-0.01156902228915744
83,Pink Lane Coffee,https://europeancoffeetrip.com/cafe/pinklanecoffee-newcastleupontyne/,Newcastle upon Tyne,1 Pink Lane,Monday - Friday: 08:00-17:00|Saturday: 09:00-17:00|Sunday: 10:00-16:00,NE1 5DW,,,,,54.9693499,-1.6177246
84,Day Trip,https://europeancoffeetrip.com/cafe/daytrip-london/,London,21 Halliford Street,Monday - Friday: 07:00-14:00|Saturday - Sunday: 08:00-14:00,N1 3HB,,Free Wi-Fi,,Pet Friendly,51.540924656557934,-0.09059123601482287
85,Hot Numbers,https://europeancoffeetrip.com/cafe/hotnumberscoffee-cambridge/,Cambridge,192 Gwydir St,Monday - Friday: 07:00-17:00|Saturday - Sunday: 07:00-17:00,CB1 2LJ,,,,,52.199988899999994,0.1387075937039473
86,Kofra,https://europeancoffeetrip.com/cafe/kofra-onley-norwich/,Norwich,16 Onley Street,Monday - Friday: 07:30-16:30|Saturday: 07:30-16:30|Sunday: 08:30-16:30,NR2 2EB,,,,,52.6227471,1.2773436
87,Scandinavian Coffee Pod,https://europeancoffeetrip.com/cafe/scandinaviancoffeepod-cheltenham/,Cheltenham,Royal Well Place,Monday - Friday: 07:30-16:00|Saturday - Sunday: 08:00-16:00,GL50 3DN,,Free Wi-Fi,,Pet Friendly,51.89934946507908,-2.0797248084908526
88,Two Brothers Coffee,https://europeancoffeetrip.com/cafe/twobrotherscoffee-altrincham/,Altrincham,53 Stamford New Road,Monday - Friday: 07:00-17:00|Saturday: 08:00-17:00|Sunday: 08:30-16:00,WA14 1DS,,,,,53.387916138374024,-2.347878719398949
89,Brew,https://europeancoffeetrip.com/cafe/Brew-oxford/,Oxford,75 Banbury Road,Monday - Friday: 07:30-16:30|Saturday - Sunday: 08:30-16:30,OX2 6PE,,,,Pet Friendly,51.76474375,-1.2611000281502616
90,Bean There Coffee Shop,https://europeancoffeetrip.com/cafe/beentherecoffeeshop-liverpool/,Liverpool,376 Smithdown Rd.,Monday - Friday: 08:00-17:00|Saturday - Sunday: 09:00-17:00,L15 5AN,,,,,53.3890223798539,-2.915418068583713
91,Wylie'S Coffee,https://europeancoffeetrip.com/cafe/wyliescoffee-southfields-london/,London,40 Replingham Road Southfields,Monday - Friday: 07:00-16:00|Saturday - Sunday: 08:00-16:00,SW18 5LR,,Free Wi-Fi,Laptop Friendly,Pet Friendly,51.44482,-0.2044
92,46B Espresso Hut,https://europeancoffeetrip.com/cafe/46bespressohut-London/,London,Brooksby's Walk,Monday - Friday: 08:00-15:30|Saturday - Sunday: Closed,E9 6DF,,,,,51.54987642236129,-0.042826413541356495
93,Driink Coffee Club,https://europeancoffeetrip.com/cafe/driink-chelmsford/,Chelmsford,39b Baddow Rd.,Monday - Friday: 08:00-15:00|Saturday - Sunday: 09:00-15:00,CM2 0DD,,Free Wi-Fi,Laptop Friendly,Pet Friendly,51.729596192010895,0.4773402601273837
94,Artisan Putney,https://europeancoffeetrip.com/cafe/Artisanputney-london/,London,203 Upper Richmond Road Putney  ,Monday - Friday: 07:00-18:00|Saturday: 08:00-18:00|Sunday: 08:30-18:00,SW15 6SG,,,,,51.4611411,-0.2191717222222222
95,General Merchants,https://europeancoffeetrip.com/cafe/generalmerchants-belfast/,Belfast,481 Upper Newtownards Rd,Monday - Friday: 08:00-17:00|Saturday: 08:00-17:00|Sunday: 09:00-17:00,BT4 3LL,,,,,,
96,Watchhouse Seven Dials,https://europeancoffeetrip.com/cafe/sevendials-london/,London,7 Upper St Martin's Lane,Monday - Friday: 07:30-18:00|Saturday - Sunday: 08:00-18:00,WC2H 9DL,,,,,51.51270555,-0.12715065
97,Artisan Roast Stockbridge,https://europeancoffeetrip.com/cafe/artisanroast-stockbridge-edinburgh/,Edinburgh,100A Raeburn Place,Monday - Friday: 08:30-17:00|Saturday - Sunday: 09:00-17:00,EH4 1HH,,,,Pet Friendly,55.959012665088665,-3.2117813593761517
98,Still.,https://europeancoffeetrip.com/cafe/still-hull/,Hull,21 Posterngate,Monday: Closed|Tuesday: Closed|Wednesday: 10:00-16:00|Thursday: 10:00-16:00|Friday: 10:00-16:00|Saturday: 10:00-20:00|Sunday: 10:00-16:00,HU1 2JN,,,Laptop Friendly,Pet Friendly,53.74223802574657,-0.33625250010321034
99,Snoozzze Coffee,https://europeancoffeetrip.com/cafe/snoozzzecoffee-london/,London,91 Cowcross Street,Monday - Friday: 07:30-17:30|Saturday: 08:00-16:00|Sunday: Closed,EC1M 6BH,,Free Wi-Fi,,Pet Friendly,51.5198791,-0.10227446026039186
